"type";"begin_time";"frequency";"count";"created with version";"exported with version";"last_name";"first_name";"born";"sex";"measurement_date";"record_name"
"record";"0,00000";"2000.4";"66240";"Noraxon myoRESEARCH Software 4.2.22";"4.2.22";"MyoMetrics Demo Record";"";"";"male";"2025-12-02T15:49:38.758+01:00";"Free Capture-3"

"time";"Activity";"Marker";"FLEX.CARP.R LT (uV)"
0,00000;"Activity";;4,90354833
0,00050;;;3,377576291
0,00100;;;1,241215437
0,00150;;;0,9360210295
0,00200;;;1,851604253
0,00250;;;1,851604253
0,00300;;;0,6308266218
0,00350;;;-0,2847566013
0,00400;;;-0,2847566013
0,00450;;;0,02043780641
0,00500;;;-0,589951009
0,00550;;;-2,726311863
0,00600;;;-4,252283901
0,00650;;;-3,031506271
0,00700;;;-0,589951009
0,00750;;;0,9360210295
0,00800;;;1,851604253
0,00850;;;2,15679866
0,00900;;;2,15679866
0,00950;;;1,241215437
0,01000;;;0,3256322141
0,01050;;;0,02043780641
0,01100;;;0,02043780641
0,01150;;;0,02043780641
0,01200;;;0,3256322141
0,01250;;;1,241215437
0,01300;;;1,851604253
0,01350;;;1,851604253
0,01400;;;1,546409845
0,01450;;;2,15679866
0,01500;;;3,377576291
0,01550;;;3,987965107
0,01600;;;3,377576291
0,01650;;;2,767187476
0,01700;;;2,15679866
0,01750;;;1,241215437
0,01800;;;0,9360210295
0,01850;;;0,9360210295
0,01900;;;0,6308266218
0,01950;;;-0,2847566013
0,02000;;;-1,200339824
0,02050;;;0,02043780641
0,02100;;;2,15679866
0,02150;;;2,767187476
0,02200;;;1,546409845
0,02250;;;0,3256322141
0,02300;;;1,546409845
0,02350;;;3,072381883
0,02400;;;2,461993068
0,02450;;;0,9360210295
0,02500;;;1,241215437
0,02550;;;3,072381883
0,02600;;;3,377576291
0,02650;;;1,851604253
0,02700;;;0,6308266218
0,02750;;;0,6308266218
0,02800;;;0,9360210295
0,02849;;;0,02043780641
0,02899;;;0,02043780641
0,02949;;;0,3256322141
0,02999;;;0,6308266218
0,03049;;;0,02043780641
0,03099;;;-0,8951454167
0,03149;;;0,02043780641
0,03199;;;2,15679866
0,03249;;;3,072381883
0,03299;;;1,851604253
0,03349;;;0,6308266218
0,03399;;;0,9360210295
0,03449;;;2,461993068
0,03499;;;3,682770699
0,03549;;;3,377576291
0,03599;;;3,072381883
0,03649;;;3,072381883
0,03699;;;3,072381883
0,03749;;;2,461993068
0,03799;;;0,9360210295
0,03849;;;-1,505534232
0,03899;;;-4,862672717
0,03949;;;-7,609422386
0,03999;;;-7,609422386
0,04049;;;-4,557478309
0,04099;;;-0,8951454167
0,04149;;;0,3256322141
0,04199;;;-0,589951009
0,04249;;;-3,031506271
0,04299;;;-4,557478309
0,04349;;;-3,641895086
0,04399;;;-1,505534232
0,04449;;;0,6308266218
0,04499;;;1,241215437
0,04549;;;0,3256322141
0,04599;;;1,241215437
0,04649;;;3,682770699
0,04699;;;4,90354833
0,04749;;;3,072381883
0,04799;;;0,3256322141
0,04849;;;0,3256322141
0,04899;;;0,3256322141
0,04949;;;-3,947089494
0,04999;;;-12,1873385
0,05049;;;-16,46006021
0,05099;;;-12,49253291
0,05149;;;-4,557478309
0,05199;;;0,02043780641
0,05249;;;1,546409845
0,05299;;;1,546409845
0,05349;;;1,546409845
0,05399;;;0,3256322141
0,05449;;;-1,200339824
0,05499;;;-3,031506271
0,05549;;;-3,947089494
0,05599;;;-3,947089494
0,05649;;;-2,726311863
0,05699;;;-1,81072864
0,05749;;;-2,421117455
0,05799;;;-3,336700678
0,05849;;;-2,421117455
0,05899;;;-0,2847566013
0,05949;;;1,546409845
0,05999;;;2,15679866
0,06049;;;2,767187476
0,06099;;;3,682770699
0,06149;;;3,682770699
0,06199;;;1,851604253
0,06249;;;-0,2847566013
0,06299;;;-1,505534232
0,06349;;;-1,505534232
0,06399;;;0,02043780641
0,06449;;;1,851604253
0,06499;;;3,682770699
0,06549;;;3,987965107
0,06599;;;3,072381883
0,06649;;;2,15679866
0,06699;;;1,241215437
0,06749;;;0,3256322141
0,06799;;;0,02043780641
0,06849;;;0,9360210295
0,06899;;;0,9360210295
0,06949;;;-1,200339824
0,06999;;;-4,557478309
0,07049;;;-4,557478309
0,07099;;;-2,115923047
0,07149;;;0,02043780641
0,07199;;;0,02043780641
0,07249;;;0,3256322141
0,07299;;;1,851604253
0,07349;;;2,767187476
0,07399;;;2,15679866
0,07449;;;0,6308266218
0,07499;;;0,3256322141
0,07549;;;0,6308266218
0,07599;;;0,9360210295
0,07649;;;0,9360210295
0,07699;;;1,851604253
0,07749;;;2,461993068
0,07799;;;3,072381883
0,07849;;;2,15679866
0,07899;;;-0,2847566013
0,07949;;;-3,641895086
0,07999;;;-5,167867125
0,08049;;;-4,862672717
0,08099;;;-4,557478309
0,08149;;;-5,167867125
0,08199;;;-4,862672717
0,08249;;;-2,421117455
0,08299;;;-0,8951454167
0,08349;;;-2,726311863
0,08399;;;-4,862672717
0,08448;;;-3,947089494
0,08498;;;-0,8951454167
0,08548;;;-0,8951454167
0,08598;;;-3,947089494
0,08648;;;-5,77825594
0,08698;;;-3,641895086
0,08748;;;-0,589951009
0,08798;;;0,6308266218
0,08848;;;0,6308266218
0,08898;;;0,6308266218
0,08948;;;1,241215437
0,08998;;;1,546409845
0,09048;;;1,241215437
0,09098;;;0,3256322141
0,09148;;;0,02043780641
0,09198;;;0,9360210295
0,09248;;;2,461993068
0,09298;;;3,682770699
0,09348;;;3,072381883
0,09398;;;1,851604253
0,09448;;;1,851604253
0,09498;;;1,851604253
0,09548;;;0,02043780641
0,09598;;;-2,115923047
0,09648;;;-2,115923047
0,09698;;;-0,2847566013
0,09748;;;0,02043780641
0,09798;;;-0,8951454167
